,0
80,"[339, 6, 232, 183, 278, 266, 246, 612, 441, 545]"
81,"[193, 460, 524, 265, 512, 103, 370, 113, 36, 655]"
82,"[339, 6, 232, 266, 183, 278, 246, 279, 612, 381]"
83,"[6, 339, 246, 232, 266, 183, 441, 278, 279, 635]"
84,"[339, 6, 232, 266, 183, 246, 279, 278, 441, 635]"
85,"[339, 6, 232, 266, 246, 183, 278, 279, 441, 635]"
86,"[339, 6, 232, 266, 183, 246, 279, 278, 635, 443]"
87,"[681, 612, 121, 570, 429, 339, 6, 123, 545, 448]"
88,"[339, 6, 232, 266, 246, 183, 278, 635, 279, 441]"
89,"[339, 6, 232, 266, 674, 183, 452, 246, 683, 279]"
90,"[339, 6, 232, 183, 246, 266, 441, 278, 635, 279]"
91,"[6, 339, 232, 246, 278, 121, 183, 266, 483, 421]"
92,"[193, 483, 119, 421, 561, 370, 113, 278, 512, 460]"
93,"[339, 6, 183, 232, 266, 246, 441, 278, 279, 635]"
94,"[339, 6, 232, 266, 246, 183, 441, 278, 279, 635]"
95,"[339, 6, 232, 266, 183, 246, 441, 278, 279, 487]"
96,"[339, 6, 232, 246, 266, 183, 279, 278, 441, 365]"
97,"[339, 6, 232, 266, 246, 183, 278, 279, 441, 635]"
98,"[339, 6, 232, 246, 266, 183, 681, 88, 279, 278]"
99,"[339, 6, 232, 193, 183, 278, 266, 635, 561, 370]"
100,"[375, 612, 359, 213, 527, 589, 389, 121, 429, 149]"
101,"[589, 27, 366, 173, 404, 256, 146, 132, 511, 520]"
102,"[612, 33, 429, 121, 693, 226, 359, 592, 527, 213]"
103,"[589, 366, 404, 27, 256, 173, 585, 146, 647, 548]"
104,"[33, 527, 326, 592, 376, 213, 366, 404, 389, 173]"
105,"[416, 366, 404, 548, 27, 256, 173, 585, 146, 647]"
106,"[589, 520, 511, 69, 389, 375, 27, 173, 366, 359]"
107,"[33, 612, 518, 592, 543, 513, 527, 213, 376, 292]"
108,"[404, 366, 173, 27, 213, 592, 589, 256, 146, 132]"
109,"[589, 27, 443, 366, 146, 511, 173, 160, 404, 256]"
110,"[38, 396, 529, 308, 73, 671, 589, 533, 269, 156]"
111,"[589, 511, 97, 160, 105, 520, 30, 166, 69, 412]"
112,"[27, 366, 589, 173, 256, 404, 146, 132, 461, 416]"
113,"[589, 518, 30, 649, 511, 689, 332, 520, 389, 69]"
114,"[612, 149, 213, 589, 33, 429, 141, 121, 592, 27]"
115,"[589, 520, 511, 416, 69, 389, 27, 375, 366, 359]"
116,"[33, 612, 592, 359, 55, 543, 141, 527, 376, 213]"
117,"[589, 213, 389, 511, 149, 520, 359, 69, 592, 527]"
118,"[589, 33, 213, 592, 527, 376, 543, 513, 173, 366]"
119,"[375, 612, 121, 570, 359, 429, 141, 681, 693, 423]"
120,"[366, 404, 27, 548, 256, 665, 173, 585, 146, 647]"
121,"[589, 366, 27, 213, 404, 592, 511, 389, 173, 256]"
122,"[511, 366, 404, 527, 27, 33, 589, 548, 326, 132]"
123,"[589, 375, 511, 359, 389, 520, 69, 213, 612, 121]"
124,"[33, 589, 527, 226, 592, 376, 213, 173, 543, 513]"
125,"[589, 511, 520, 359, 33, 226, 389, 69, 375, 211]"
126,"[55, 538, 189, 674, 631, 512, 224, 98, 165, 419]"
127,"[375, 612, 121, 570, 359, 429, 141, 242, 681, 404]"
128,"[612, 375, 173, 366, 404, 27, 33, 141, 376, 121]"
129,"[527, 592, 213, 54, 326, 33, 404, 389, 366, 583]"
130,"[612, 121, 429, 375, 570, 681, 260, 359, 328, 242]"
131,"[33, 589, 527, 226, 592, 213, 326, 54, 55, 389]"
132,"[404, 366, 27, 141, 146, 592, 256, 173, 514, 612]"
133,"[612, 213, 121, 359, 375, 141, 258, 589, 693, 404]"
134,"[589, 375, 359, 520, 69, 404, 332, 27, 98, 512]"
135,"[33, 429, 226, 375, 303, 359, 612, 654, 55, 389]"
136,"[518, 30, 589, 649, 420, 689, 332, 395, 216, 416]"
137,"[173, 366, 27, 404, 518, 256, 146, 132, 607, 376]"
138,"[589, 520, 33, 389, 69, 149, 375, 213, 511, 361]"
139,"[589, 149, 511, 213, 69, 520, 226, 33, 389, 359]"
140,"[404, 518, 173, 27, 366, 146, 256, 332, 589, 443]"
141,"[375, 359, 33, 389, 520, 589, 511, 612, 69, 213]"
142,"[589, 612, 359, 592, 389, 213, 527, 141, 375, 511]"
143,"[511, 527, 27, 33, 326, 589, 375, 389, 443, 366]"
144,"[33, 589, 213, 511, 389, 527, 592, 359, 375, 226]"
145,"[612, 121, 589, 375, 570, 429, 162, 359, 260, 511]"
146,"[589, 27, 366, 404, 146, 173, 256, 141, 518, 511]"
147,"[518, 27, 589, 366, 173, 665, 647, 394, 192, 256]"
148,"[589, 511, 213, 389, 33, 359, 612, 55, 527, 592]"
149,"[173, 589, 404, 27, 366, 268, 146, 256, 511, 140]"
150,"[589, 511, 69, 520, 416, 27, 366, 389, 173, 256]"
151,"[589, 511, 33, 543, 513, 376, 213, 389, 482, 670]"
152,"[213, 589, 592, 527, 33, 376, 543, 513, 184, 607]"
153,"[33, 376, 173, 563, 592, 543, 366, 607, 307, 201]"
154,"[33, 375, 520, 589, 511, 389, 69, 359, 55, 654]"
155,"[375, 589, 359, 520, 98, 512, 511, 389, 69, 160]"
156,"[589, 487, 252, 149, 511, 127, 481, 25, 213, 523]"
157,"[173, 589, 404, 27, 366, 268, 146, 256, 511, 140]"
158,"[33, 99, 516, 236, 116, 94, 562, 200, 375, 680]"
159,"[33, 226, 429, 303, 654, 375, 55, 224, 695, 366]"
160,"[589, 511, 360, 35, 565, 352, 359, 599, 231, 612]"
161,"[589, 149, 429, 375, 213, 612, 121, 69, 511, 359]"
162,"[33, 589, 527, 213, 226, 592, 543, 513, 376, 389]"
163,"[173, 404, 27, 589, 366, 268, 146, 256, 511, 140]"
164,"[589, 27, 366, 173, 404, 256, 132, 146, 665, 511]"
165,"[589, 511, 33, 213, 389, 359, 375, 592, 612, 520]"
166,"[589, 27, 511, 366, 69, 520, 173, 160, 256, 548]"
167,"[612, 121, 429, 570, 375, 260, 401, 681, 123, 328]"
168,"[33, 226, 429, 589, 303, 55, 375, 640, 654, 449]"
169,"[589, 149, 69, 404, 511, 366, 213, 332, 27, 256]"
170,"[589, 511, 520, 518, 69, 389, 332, 375, 446, 60]"
171,"[33, 375, 511, 527, 389, 326, 359, 612, 121, 429]"
172,"[366, 514, 27, 256, 132, 661, 589, 404, 461, 416]"
173,"[584, 79, 443, 192, 514, 647, 394, 352, 447, 234]"
174,"[612, 518, 527, 326, 30, 332, 116, 429, 589, 359]"
175,"[416, 404, 173, 366, 27, 256, 146, 589, 69, 132]"
176,"[520, 359, 589, 375, 360, 511, 612, 389, 69, 25]"
177,"[612, 33, 213, 592, 527, 429, 141, 226, 693, 359]"
178,"[30, 518, 589, 332, 649, 160, 105, 97, 412, 689]"
179,"[404, 173, 366, 27, 518, 256, 146, 132, 416, 689]"
180,"[33, 511, 375, 389, 527, 27, 326, 443, 366, 589]"
181,"[30, 518, 589, 649, 332, 470, 689, 187, 598, 303]"
182,"[375, 589, 359, 511, 612, 389, 27, 366, 141, 404]"
183,"[404, 518, 173, 366, 27, 256, 146, 589, 213, 132]"
184,"[33, 592, 376, 589, 173, 404, 366, 607, 307, 201]"
185,"[33, 429, 612, 121, 259, 303, 375, 160, 598, 681]"
186,"[518, 589, 30, 649, 527, 213, 592, 332, 689, 33]"
187,"[33, 589, 213, 359, 612, 511, 389, 592, 527, 375]"
188,"[527, 326, 33, 389, 213, 592, 54, 460, 124, 116]"
189,"[33, 226, 375, 429, 359, 612, 55, 693, 389, 213]"
190,"[589, 511, 520, 69, 226, 389, 332, 375, 33, 359]"
191,"[33, 527, 389, 511, 326, 404, 592, 589, 213, 366]"
192,"[173, 589, 404, 27, 366, 268, 146, 256, 511, 140]"
193,"[33, 511, 520, 589, 375, 55, 389, 69, 420, 292]"
194,"[589, 375, 359, 511, 389, 520, 612, 213, 69, 681]"
195,"[366, 589, 404, 27, 548, 256, 665, 173, 585, 146]"
196,"[589, 511, 520, 389, 69, 375, 359, 416, 213, 333]"
197,"[598, 429, 375, 612, 121, 520, 570, 389, 654, 423]"
198,"[33, 589, 612, 213, 226, 592, 527, 429, 376, 173]"
199,"[612, 429, 121, 33, 693, 570, 375, 359, 141, 226]"
200,"[684, 612, 5, 13, 578, 1, 662, 178, 263, 116]"
201,"[288, 53, 578, 672, 54, 1, 306, 95, 263, 294]"
202,"[684, 651, 360, 444, 100, 603, 612, 565, 352, 334]"
203,"[612, 13, 361, 444, 306, 263, 178, 483, 119, 5]"
204,"[612, 288, 13, 178, 263, 294, 116, 213, 124, 5]"
205,"[288, 53, 672, 54, 578, 95, 1, 306, 294, 72]"
206,"[612, 13, 684, 178, 211, 1, 100, 5, 263, 473]"
207,"[288, 53, 672, 54, 1, 306, 578, 95, 294, 211]"
208,"[684, 116, 527, 628, 5, 326, 54, 100, 1, 612]"
209,"[1, 662, 534, 672, 344, 651, 169, 453, 406, 684]"
210,"[288, 443, 294, 113, 623, 3, 433, 420, 398, 336]"
211,"[1, 662, 534, 672, 344, 651, 169, 453, 406, 684]"
212,"[612, 121, 570, 429, 260, 681, 413, 375, 328, 123]"
213,"[288, 352, 684, 100, 5, 283, 443, 527, 360, 116]"
214,"[527, 684, 116, 54, 672, 100, 5, 326, 1, 53]"
215,"[1, 527, 684, 662, 5, 116, 534, 326, 672, 54]"
216,"[578, 171, 368, 72, 1, 628, 452, 684, 458, 53]"
217,"[288, 612, 294, 35, 106, 286, 231, 387, 420, 360]"
218,"[1, 72, 672, 662, 578, 368, 684, 288, 628, 452]"
219,"[288, 443, 5, 1, 684, 53, 527, 124, 116, 263]"
220,"[612, 121, 570, 429, 375, 207, 288, 359, 681, 693]"
221,"[288, 684, 294, 1, 578, 368, 72, 211, 628, 458]"
222,"[684, 116, 100, 527, 360, 5, 612, 35, 608, 231]"
223,"[288, 443, 53, 54, 628, 452, 578, 672, 95, 594]"
224,"[59, 27, 306, 54, 483, 361, 285, 672, 637, 53]"
225,"[578, 13, 612, 72, 413, 1, 684, 285, 211, 662]"
226,"[1, 662, 534, 672, 344, 169, 406, 651, 453, 115]"
227,"[1, 662, 534, 684, 672, 527, 116, 54, 5, 578]"
228,"[612, 121, 429, 570, 260, 681, 375, 123, 328, 242]"
229,"[288, 53, 54, 578, 672, 95, 294, 1, 361, 306]"
230,"[288, 54, 53, 672, 1, 306, 578, 95, 294, 684]"
231,"[288, 53, 54, 578, 672, 95, 294, 1, 361, 306]"
232,"[612, 13, 119, 263, 306, 444, 178, 5, 483, 261]"
233,"[578, 684, 72, 612, 1, 116, 285, 527, 413, 54]"
234,"[612, 116, 213, 592, 100, 527, 33, 359, 684, 263]"
235,"[612, 359, 121, 693, 389, 579, 592, 165, 33, 263]"
236,"[578, 368, 72, 458, 1, 628, 452, 53, 684, 672]"
237,"[288, 413, 294, 555, 554, 306, 53, 1, 213, 578]"
238,"[288, 53, 54, 578, 672, 95, 294, 1, 368, 72]"
239,"[612, 116, 359, 360, 263, 608, 684, 100, 5, 179]"
240,"[612, 13, 178, 352, 14, 79, 5, 360, 283, 586]"
241,"[612, 288, 72, 684, 1, 426, 294, 570, 207, 333]"
242,"[285, 53, 54, 578, 672, 95, 361, 306, 25, 413]"
243,"[612, 100, 359, 684, 116, 263, 360, 179, 207, 565]"
244,"[288, 193, 684, 561, 113, 512, 612, 370, 178, 36]"
245,"[527, 213, 592, 33, 684, 651, 389, 612, 333, 583]"
246,"[1, 662, 534, 684, 115, 527, 116, 549, 54, 5]"
247,"[288, 5, 116, 527, 444, 100, 483, 119, 684, 360]"
248,"[612, 121, 570, 288, 207, 429, 294, 368, 681, 680]"
249,"[1, 662, 534, 684, 483, 119, 578, 444, 368, 72]"
250,"[612, 121, 570, 429, 681, 1, 375, 260, 328, 242]"
251,"[1, 662, 534, 684, 483, 119, 578, 368, 72, 53]"
252,"[288, 684, 612, 1, 294, 534, 100, 444, 360, 662]"
253,"[285, 672, 288, 413, 578, 361, 306, 54, 53, 25]"
254,"[288, 294, 1, 443, 479, 623, 3, 645, 407, 188]"
255,"[288, 294, 72, 578, 53, 119, 368, 628, 452, 13]"
256,"[672, 1, 344, 651, 534, 662, 306, 531, 453, 406]"
257,"[1, 662, 534, 684, 483, 119, 578, 444, 368, 72]"
258,"[684, 1, 13, 288, 306, 263, 361, 100, 612, 53]"
259,"[13, 612, 444, 483, 119, 306, 263, 178, 473, 261]"
260,"[54, 53, 361, 64, 672, 306, 95, 285, 25, 656]"
261,"[288, 1, 695, 694, 693, 692, 691, 690, 689, 688]"
262,"[578, 54, 285, 672, 53, 684, 1, 95, 306, 413]"
263,"[684, 54, 527, 116, 1, 5, 100, 672, 53, 444]"
264,"[288, 443, 294, 5, 263, 623, 679, 3, 1, 4]"
265,"[1, 662, 534, 672, 344, 651, 169, 453, 406, 684]"
266,"[684, 628, 527, 116, 452, 1, 100, 352, 599, 54]"
267,"[684, 288, 54, 527, 213, 33, 1, 294, 326, 592]"
268,"[612, 306, 684, 116, 5, 360, 100, 413, 444, 603]"
269,"[1, 662, 672, 612, 684, 5, 13, 527, 326, 534]"
270,"[306, 1, 672, 263, 361, 285, 54, 53, 25, 534]"
271,"[288, 612, 13, 306, 178, 294, 263, 413, 5, 1]"
272,"[612, 121, 570, 429, 207, 662, 1, 578, 260, 681]"
273,"[458, 578, 368, 72, 1, 628, 452, 53, 684, 672]"
274,"[612, 121, 570, 429, 578, 260, 207, 681, 680, 375]"
275,"[545, 448, 579, 119, 498, 655, 652, 273, 527, 213]"
276,"[13, 612, 288, 483, 119, 261, 473, 14, 178, 684]"
277,"[288, 53, 54, 578, 672, 95, 294, 1, 433, 458]"
278,"[412, 163, 639, 14, 53, 594, 628, 120, 623, 215]"
279,"[588, 413, 603, 612, 689, 236, 651, 39, 285, 211]"
280,"[13, 612, 14, 263, 178, 306, 53, 288, 1, 5]"
281,"[612, 598, 79, 681, 58, 429, 121, 352, 570, 443]"
282,"[288, 672, 294, 684, 360, 612, 565, 444, 352, 334]"
283,"[288, 13, 1, 612, 413, 294, 534, 662, 344, 306]"
284,"[288, 53, 72, 54, 578, 672, 95, 294, 1, 368]"
285,"[288, 684, 1, 294, 72, 672, 662, 578, 368, 426]"
286,"[612, 207, 570, 375, 288, 359, 121, 429, 684, 100]"
287,"[288, 684, 1, 9, 612, 116, 100, 360, 15, 294]"
288,"[684, 1, 5, 527, 116, 54, 444, 100, 662, 628]"
289,"[684, 612, 100, 672, 662, 651, 1, 294, 360, 534]"
290,"[288, 672, 1, 684, 578, 368, 72, 628, 452, 95]"
291,"[288, 1, 294, 444, 360, 534, 612, 684, 565, 352]"
292,"[283, 288, 352, 79, 628, 360, 591, 104, 612, 452]"
293,"[578, 368, 72, 1, 458, 628, 452, 53, 684, 672]"
294,"[684, 100, 483, 119, 527, 1, 261, 421, 74, 491]"
295,"[612, 13, 263, 178, 306, 5, 361, 483, 35, 473]"
296,"[53, 288, 672, 306, 54, 578, 95, 684, 294, 361]"
297,"[612, 288, 5, 684, 13, 651, 178, 263, 100, 116]"
298,"[54, 285, 578, 53, 672, 1, 95, 361, 306, 25]"
299,"[288, 294, 612, 13, 178, 684, 578, 211, 628, 452]"
300,"[627, 340, 126, 291, 659, 564, 355, 553, 218, 308]"
301,"[2, 529, 73, 188, 85, 16, 248, 547, 530, 487]"
302,"[572, 397, 316, 605, 85, 2, 529, 539, 530, 631]"
303,"[2, 412, 163, 639, 245, 529, 73, 14, 439, 628]"
304,"[80, 2, 121, 472, 536, 245, 529, 73, 32, 691]"
305,"[2, 670, 319, 499, 137, 607, 7, 16, 73, 142]"
306,"[307, 529, 280, 641, 501, 240, 237, 309, 609, 670]"
307,"[2, 193, 529, 73, 452, 460, 85, 16, 424, 673]"
308,"[499, 29, 611, 471, 237, 64, 571, 319, 142, 131]"
309,"[63, 327, 202, 284, 85, 346, 37, 544, 128, 262]"
310,"[2, 142, 673, 319, 16, 571, 547, 530, 529, 499]"
311,"[591, 411, 121, 228, 138, 19, 631, 160, 2, 626]"
312,"[2, 63, 137, 670, 607, 7, 193, 319, 157, 255]"
313,"[88, 620, 341, 399, 34, 488, 107, 559, 66, 693]"
314,"[2, 529, 73, 85, 16, 547, 530, 487, 149, 88]"
315,"[2, 529, 73, 85, 16, 472, 547, 530, 487, 149]"
316,"[556, 440, 529, 639, 499, 471, 349, 657, 2, 130]"
317,"[2, 487, 529, 73, 228, 121, 474, 85, 127, 252]"
318,"[556, 440, 529, 639, 499, 670, 482, 467, 2, 607]"
319,"[2, 73, 529, 452, 85, 573, 199, 16, 536, 472]"
320,"[2, 439, 32, 245, 80, 529, 73, 536, 472, 617]"
321,"[556, 440, 626, 202, 529, 319, 262, 435, 571, 542]"
322,"[2, 449, 529, 73, 658, 387, 175, 245, 334, 687]"
323,"[245, 2, 612, 32, 121, 429, 16, 570, 536, 529]"
324,"[63, 556, 440, 607, 639, 529, 157, 137, 7, 471]"
325,"[2, 85, 135, 529, 73, 63, 262, 202, 16, 449]"
326,"[529, 73, 2, 16, 110, 168, 396, 283, 591, 611]"
327,"[63, 2, 532, 483, 547, 664, 613, 119, 421, 529]"
328,"[2, 85, 73, 529, 530, 16, 547, 428, 177, 92]"
329,"[499, 2, 611, 471, 378, 237, 673, 85, 529, 73]"
330,"[2, 529, 73, 85, 16, 452, 547, 530, 578, 487]"
331,"[2, 73, 529, 16, 135, 85, 670, 177, 92, 547]"
332,"[2, 591, 411, 529, 73, 121, 85, 138, 16, 547]"
333,"[73, 85, 2, 193, 529, 561, 370, 113, 16, 530]"
334,"[2, 673, 499, 471, 162, 142, 228, 85, 625, 199]"
335,"[2, 487, 73, 127, 529, 252, 85, 281, 16, 551]"
336,"[2, 85, 73, 529, 16, 228, 139, 631, 316, 327]"
337,"[2, 16, 92, 177, 428, 547, 530, 529, 73, 295]"
338,"[227, 2, 554, 424, 245, 529, 499, 73, 471, 439]"
339,"[428, 475, 472, 618, 573, 199, 95, 695, 582, 309]"
340,"[329, 121, 135, 612, 559, 372, 452, 419, 360, 267]"
341,"[2, 536, 472, 245, 349, 142, 673, 649, 424, 499]"
342,"[2, 73, 529, 16, 545, 487, 85, 547, 530, 498]"
343,"[2, 498, 319, 571, 271, 545, 248, 310, 7, 142]"
344,"[121, 252, 474, 487, 127, 112, 66, 281, 659, 627]"
345,"[80, 126, 245, 221, 61, 536, 472, 164, 667, 32]"
346,"[2, 498, 545, 547, 487, 449, 692, 281, 175, 0]"
347,"[121, 612, 2, 570, 260, 681, 80, 429, 259, 308]"
348,"[121, 612, 556, 570, 357, 385, 429, 499, 677, 525]"
349,"[2, 618, 188, 16, 573, 547, 530, 529, 199, 73]"
350,"[2, 529, 73, 85, 16, 547, 530, 487, 149, 428]"
351,"[2, 142, 673, 424, 245, 131, 16, 571, 547, 530]"
352,"[85, 73, 2, 34, 529, 530, 397, 452, 174, 126]"
353,"[2, 529, 249, 556, 73, 85, 440, 16, 208, 547]"
354,"[443, 557, 434, 391, 349, 591, 584, 352, 265, 30]"
355,"[428, 612, 121, 127, 570, 429, 242, 66, 24, 107]"
356,"[536, 245, 472, 2, 424, 349, 387, 618, 439, 19]"
357,"[2, 612, 121, 570, 693, 429, 258, 375, 141, 207]"
358,"[2, 673, 245, 16, 547, 530, 529, 142, 73, 503]"
359,"[40, 427, 649, 276, 174, 127, 106, 580, 277, 311]"
360,"[2, 452, 73, 529, 85, 16, 472, 228, 628, 458]"
361,"[2, 529, 73, 649, 40, 276, 85, 16, 547, 530]"
362,"[249, 208, 522, 53, 652, 619, 504, 498, 455, 408]"
363,"[2, 142, 19, 349, 245, 673, 529, 73, 571, 16]"
364,"[2, 16, 547, 530, 529, 142, 73, 673, 599, 428]"
365,"[85, 73, 2, 529, 16, 530, 34, 121, 428, 129]"
366,"[2, 529, 73, 85, 16, 547, 530, 349, 245, 149]"
367,"[258, 38, 85, 448, 378, 287, 243, 54, 656, 221]"
368,"[34, 193, 460, 512, 113, 524, 265, 657, 37, 395]"
369,"[2, 16, 547, 530, 529, 73, 349, 142, 428, 177]"
370,"[2, 142, 420, 673, 319, 121, 16, 571, 547, 530]"
371,"[121, 536, 472, 19, 245, 2, 618, 439, 617, 32]"
372,"[2, 529, 73, 547, 16, 530, 85, 135, 428, 177]"
373,"[229, 2, 649, 40, 628, 580, 276, 529, 499, 73]"
374,"[428, 612, 121, 550, 429, 570, 695, 260, 681, 242]"
375,"[34, 2, 631, 85, 529, 126, 73, 23, 674, 538]"
376,"[2, 16, 73, 85, 530, 667, 547, 529, 428, 177]"
377,"[529, 2, 310, 556, 248, 73, 440, 85, 16, 692]"
378,"[2, 452, 529, 73, 85, 16, 628, 458, 228, 547]"
379,"[2, 228, 73, 85, 529, 487, 605, 16, 121, 523]"
380,"[158, 90, 250, 361, 681, 326, 427, 569, 276, 2]"
381,"[2, 16, 177, 73, 92, 380, 85, 670, 530, 428]"
382,"[2, 82, 499, 215, 536, 531, 245, 472, 199, 694]"
383,"[2, 529, 142, 556, 611, 471, 571, 499, 319, 131]"
384,"[529, 73, 2, 85, 16, 547, 530, 487, 149, 90]"
385,"[2, 590, 121, 494, 596, 328, 16, 612, 317, 322]"
386,"[193, 460, 524, 265, 2, 512, 103, 370, 113, 529]"
387,"[121, 2, 80, 448, 579, 449, 16, 135, 612, 308]"
388,"[2, 673, 499, 471, 503, 402, 154, 599, 142, 529]"
389,"[609, 280, 307, 658, 112, 513, 501, 641, 237, 157]"
390,"[2, 16, 92, 73, 428, 177, 547, 530, 529, 612]"
391,"[2, 38, 135, 308, 73, 129, 16, 529, 92, 142]"
392,"[2, 536, 472, 121, 85, 618, 245, 219, 19, 424]"
393,"[360, 612, 684, 565, 444, 352, 334, 283, 281, 245]"
394,"[487, 2, 252, 529, 73, 127, 281, 417, 659, 627]"
395,"[2, 536, 245, 472, 16, 424, 618, 387, 349, 73]"
396,"[556, 440, 32, 439, 529, 471, 639, 499, 630, 275]"
397,"[245, 536, 472, 2, 349, 424, 80, 617, 439, 334]"
398,"[85, 34, 2, 529, 73, 28, 626, 530, 126, 23]"
